dataset,model,detector,treatment,mean,std,train_size,removed,removed_pct,clipped_values,clipped_rows,clipped_pct,outlier_pct,time
eucalyptus,randomforest,LOF,remove,0.566216,0.021957,446,23.80,0.050638,0.00,0.00,0.000000,0.050638,0.216
eucalyptus,randomforest,Autoencoder,remove,0.571622,0.027892,445,24.40,0.051915,0.00,0.00,0.000000,0.051915,0.218
eye_movements,mlp,None,remove,0.402651,0.008550,6998,0.00,0.000000,0.00,0.00,0.000000,0.000000,7.886
eye_movements,mlp,ZScore,remove,0.410603,0.015934,5674,1323.20,0.189083,0.00,0.00,0.000000,0.189083,6.442
eye_movements,mlp,ZScore,clip,0.403016,0.015804,6998,0.00,0.000000,2393.80,1323.20,0.189083,0.189083,7.914
eye_movements,mlp,Percentile,remove,0.401463,0.013523,2603,4394.60,0.627979,0.00,0.00,0.000000,0.627979,2.814
eye_movements,mlp,Percentile,clip,0.392596,0.014246,6998,0.00,0.000000,11078.80,4394.60,0.627979,0.627979,7.894
eye_movements,mlp,IsolationForest,remove,0.406399,0.012173,6649,348.80,0.049843,0.00,0.00,0.000000,0.049843,7.519
eye_movements,mlp,LOF,remove,0.398995,0.018350,6648,349.60,0.049957,0.00,0.00,0.000000,0.049957,7.528
eye_movements,mlp,Autoencoder,remove,0.393693,0.014245,6647,350.20,0.050043,0.00,0.00,0.000000,0.050043,7.557
eye_movements,xgboost,None,remove,0.494516,0.028584,6998,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.727
eye_movements,xgboost,ZScore,remove,0.489397,0.009923,5674,1323.20,0.189083,0.00,0.00,0.000000,0.189083,0.652
eye_movements,xgboost,ZScore,clip,0.487112,0.020317,6998,0.00,0.000000,2393.80,1323.20,0.189083,0.189083,0.708
eye_movements,xgboost,Percentile,remove,0.437843,0.012359,2603,4394.60,0.627979,0.00,0.00,0.000000,0.627979,0.464
eye_movements,xgboost,Percentile,clip,0.468921,0.033391,6998,0.00,0.000000,11078.80,4394.60,0.627979,0.627979,0.691
eye_movements,xgboost,IsolationForest,remove,0.490676,0.024715,6649,348.80,0.049843,0.00,0.00,0.000000,0.049843,0.706
eye_movements,xgboost,LOF,remove,0.496344,0.028488,6648,349.60,0.049957,0.00,0.00,0.000000,0.049957,0.701
eye_movements,xgboost,Autoencoder,remove,0.467550,0.035908,6647,350.20,0.050043,0.00,0.00,0.000000,0.050043,0.717
eye_movements,randomforest,None,remove,0.322029,0.041456,6998,0.00,0.000000,0.00,0.00,0.000000,0.000000,2.930
eye_movements,randomforest,ZScore,remove,0.329799,0.023239,5674,1323.20,0.189083,0.00,0.00,0.000000,0.189083,2.275
eye_movements,randomforest,ZScore,clip,0.317824,0.038318,6998,0.00,0.000000,2393.80,1323.20,0.189083,0.189083,2.867
eye_movements,randomforest,Percentile,remove,0.399177,0.051265,2603,4394.60,0.627979,0.00,0.00,0.000000,0.627979,0.993
eye_movements,randomforest,Percentile,clip,0.444881,0.078875,6998,0.00,0.000000,11078.80,4394.60,0.627979,0.627979,2.685
eye_movements,randomforest,IsolationForest,remove,0.334186,0.033746,6649,348.80,0.049843,0.00,0.00,0.000000,0.049843,2.751
eye_movements,randomforest,LOF,remove,0.321664,0.032226,6648,349.60,0.049957,0.00,0.00,0.000000,0.049957,2.769
eye_movements,randomforest,Autoencoder,remove,0.331627,0.049315,6647,350.20,0.050043,0.00,0.00,0.000000,0.050043,2.776
house_16H,mlp,None,remove,0.859748,0.001275,8632,0.00,0.000000,0.00,0.00,0.000000,0.000000,7.016
house_16H,mlp,ZScore,remove,0.852483,0.005022,7281,1350.20,0.156418,0.00,0.00,0.000000,0.156418,6.327
house_16H,mlp,ZScore,clip,0.856338,0.003590,8632,0.00,0.000000,2171.20,1350.20,0.156418,0.156418,7.467
house_16H,mlp,Percentile,remove,0.831801,0.010944,4245,4386.60,0.508179,0.00,0.00,0.000000,0.508179,3.707
house_16H,mlp,Percentile,clip,0.849222,0.003819,8632,0.00,0.000000,10004.60,4386.60,0.508179,0.508179,7.254
house_16H,mlp,IsolationForest,remove,0.856931,0.003299,8200,432.00,0.050046,0.00,0.00,0.000000,0.050046,6.878
house_16H,mlp,LOF,remove,0.862565,0.004858,8200,431.80,0.050023,0.00,0.00,0.000000,0.050023,6.214
house_16H,mlp,Autoencoder,remove,0.861231,0.003168,8199,432.40,0.050093,0.00,0.00,0.000000,0.050093,7.032
house_16H,xgboost,None,remove,0.873239,0.002823,8632,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.238
house_16H,xgboost,ZScore,remove,0.867161,0.002617,7281,1350.20,0.156418,0.00,0.00,0.000000,0.156418,0.211
house_16H,xgboost,ZScore,clip,0.873981,0.004798,8632,0.00,0.000000,2171.20,1350.20,0.156418,0.156418,0.232
house_16H,xgboost,Percentile,remove,0.858562,0.002648,4245,4386.60,0.508179,0.00,0.00,0.000000,0.508179,0.173
house_16H,xgboost,Percentile,clip,0.870348,0.001471,8632,0.00,0.000000,10004.60,4386.60,0.508179,0.508179,0.264
house_16H,xgboost,IsolationForest,remove,0.873907,0.003826,8200,432.00,0.050046,0.00,0.00,0.000000,0.050046,0.222
house_16H,xgboost,LOF,remove,0.872202,0.002204,8200,431.80,0.050023,0.00,0.00,0.000000,0.050023,0.241
house_16H,xgboost,Autoencoder,remove,0.871683,0.002987,8199,432.40,0.050093,0.00,0.00,0.000000,0.050093,0.226
house_16H,randomforest,None,remove,0.876946,0.001445,8632,0.00,0.000000,0.00,0.00,0.000000,0.000000,4.642
house_16H,randomforest,ZScore,remove,0.867606,0.001614,7281,1350.20,0.156418,0.00,0.00,0.000000,0.156418,3.400
house_16H,randomforest,ZScore,clip,0.876427,0.001700,8632,0.00,0.000000,2171.20,1350.20,0.156418,0.156418,4.205
house_16H,randomforest,Percentile,remove,0.857376,0.004846,4245,4386.60,0.508179,0.00,0.00,0.000000,0.508179,1.805
house_16H,randomforest,Percentile,clip,0.873610,0.002261,8632,0.00,0.000000,10004.60,4386.60,0.508179,0.508179,3.739
house_16H,randomforest,IsolationForest,remove,0.876575,0.001262,8200,432.00,0.050046,0.00,0.00,0.000000,0.050046,3.784
house_16H,randomforest,LOF,remove,0.876353,0.002542,8200,431.80,0.050023,0.00,0.00,0.000000,0.050023,3.877
house_16H,randomforest,Autoencoder,remove,0.876205,0.002425,8199,432.40,0.050093,0.00,0.00,0.000000,0.050093,3.839
kc1,mlp,None,remove,0.858768,0.007125,1349,0.00,0.000000,0.00,0.00,0.000000,0.000000,1.132
kc1,mlp,ZScore,remove,0.856398,0.012945,1216,133.00,0.098592,0.00,0.00,0.000000,0.098592,0.879
kc1,mlp,ZScore,clip,0.858768,0.005320,1349,0.00,0.000000,623.60,133.00,0.098592,0.098592,1.127
kc1,mlp,Percentile,remove,0.848341,0.011896,1064,284.20,0.210675,0.00,0.00,0.000000,0.210675,0.895
kc1,mlp,Percentile,clip,0.849289,0.008687,1349,0.00,0.000000,1414.00,284.20,0.210675,0.210675,1.116
kc1,mlp,IsolationForest,remove,0.863981,0.006106,1281,67.60,0.050111,0.00,0.00,0.000000,0.050111,1.075
kc1,mlp,LOF,remove,0.856872,0.009190,1285,63.40,0.046998,0.00,0.00,0.000000,0.046998,1.093
kc1,mlp,Autoencoder,remove,0.856872,0.005104,1280,68.40,0.050704,0.00,0.00,0.000000,0.050704,1.070
kc1,xgboost,None,remove,0.866825,0.014171,1349,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.084
kc1,xgboost,ZScore,remove,0.843128,0.009042,1216,133.00,0.098592,0.00,0.00,0.000000,0.098592,0.080
kc1,xgboost,ZScore,clip,0.857346,0.009759,1349,0.00,0.000000,623.60,133.00,0.098592,0.098592,0.085
kc1,xgboost,Percentile,remove,0.825592,0.008290,1064,284.20,0.210675,0.00,0.00,0.000000,0.210675,0.080
kc1,xgboost,Percentile,clip,0.852133,0.012945,1349,0.00,0.000000,1414.00,284.20,0.210675,0.210675,0.085
kc1,xgboost,IsolationForest,remove,0.860190,0.014375,1281,67.60,0.050111,0.00,0.00,0.000000,0.050111,0.081
kc1,xgboost,LOF,remove,0.862085,0.012575,1285,63.40,0.046998,0.00,0.00,0.000000,0.046998,0.087
kc1,xgboost,Autoencoder,remove,0.858768,0.012413,1280,68.40,0.050704,0.00,0.00,0.000000,0.050704,0.086
kc1,randomforest,None,remove,0.861611,0.007730,1349,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.342
kc1,randomforest,ZScore,remove,0.848815,0.008398,1216,133.00,0.098592,0.00,0.00,0.000000,0.098592,0.299
kc1,randomforest,ZScore,clip,0.856398,0.006802,1349,0.00,0.000000,623.60,133.00,0.098592,0.098592,0.328
kc1,randomforest,Percentile,remove,0.836493,0.007030,1064,284.20,0.210675,0.00,0.00,0.000000,0.210675,0.270
kc1,randomforest,Percentile,clip,0.852607,0.007845,1349,0.00,0.000000,1414.00,284.20,0.210675,0.210675,0.316
kc1,randomforest,IsolationForest,remove,0.853555,0.006933,1281,67.60,0.050111,0.00,0.00,0.000000,0.050111,0.311
kc1,randomforest,LOF,remove,0.863507,0.008290,1285,63.40,0.046998,0.00,0.00,0.000000,0.046998,0.332
kc1,randomforest,Autoencoder,remove,0.852133,0.004879,1280,68.40,0.050704,0.00,0.00,0.000000,0.050704,0.315
